huc8,eventid,cruise,program,project,agency,source,station,sampledate,sampletime,totaldepth,upperpycnocline,lowerpycnocline,depth,layer,sampletype,samplereplicatetype,parameter,qualifier,measurevalue,unit,method,lab,problem,precisionpc,biaspc,details,latitude,longitude,tierlevel
2080101,444510,bay714,twqm,main,vadeq,odu,cb5.4w,2018-02-15t00:00:00,09:38:00,4,,,3,b,d,s1,chla,"",4.4856,ug/l,l01,odu,"",,,"",37.81347,-76.29467,t3
2080101,444509,bay714,twqm,main,vadeq,odu,cb5.4,2018-02-15t00:00:00,08:32:00,33,10,11,9,ap,d,s1,chla,"",6.6216,ug/l,l01,odu,"",,,"",37.80013,-76.17466,t3
2080101,444509,bay714,twqm,main,vadeq,odu,cb5.4,2018-02-15t00:00:00,08:32:00,33,10,11,1,s,d,s1,chla,"",6.408,ug/l,l01,odu,"",,,"",37.80013,-76.17466,t3
2080101,444509,bay714,twqm,main,vadeq,odu,cb5.4,2018-02-15t00:00:00,08:32:00,33,10,11,12,bp,d,s1,chla,"",4.6992,ug/l,l01,odu,"",,,"",37.80013,-76.17466,t3
2080101,444510,bay714,twqm,main,vadeq,odu,cb5.4w,2018-02-15t00:00:00,09:38:00,4,,,1,s,d,s1,chla,"",4.6992,ug/l,l01,odu,"",,,"",37.81347,-76.29467,t3
2080101,444512,bay714,twqm,main,vadeq,odu,cb5.5,2018-02-15t00:00:00,10:24:00,17,6,8,16,b,d,s1,chla,"",4.0584,ug/l,l01,odu,"",,,"",37.6918,-76.18967,t3
2080101,444512,bay714,twqm,main,vadeq,odu,cb5.5,2018-02-15t00:00:00,10:24:00,17,6,8,5,ap,d,s1,chla,"",5.0196,ug/l,l01,odu,"",,,"",37.6918,-76.18967,t3
2080101,444512,bay714,twqm,main,vadeq,odu,cb5.5,2018-02-15t00:00:00,10:24:00,17,6,8,1,s,d,s1,chla,"",5.34,ug/l,l01,odu,"",,,"",37.6918,-76.18967,t3
2080101,444512,bay714,twqm,main,vadeq,odu,cb5.5,2018-02-15t00:00:00,10:24:00,17,6,8,9,bp,d,s1,chla,"",4.6992,ug/l,l01,odu,"",,,"",37.6918,-76.18967,t3
2080101,444514,bay714,twqm,main,vadeq,odu,cb6.1,2018-02-15t00:00:00,11:10:00,12,5,9,11,b,d,s1,chla,"",7.3692,ug/l,l01,odu,"",,,"",37.58847,-76.16216,t3
2080101,444514,bay714,twqm,main,vadeq,odu,cb6.1,2018-02-15t00:00:00,11:10:00,12,5,9,4,ap,d,s1,chla,"",5.1264,ug/l,l01,odu,"",,,"",37.58847,-76.16216,t3
2080101,444514,bay714,twqm,main,vadeq,odu,cb6.1,2018-02-15t00:00:00,11:10:00,12,5,9,1,s,d,s1,chla,"",3.9516,ug/l,l01,odu,"",,,"",37.58847,-76.16216,t3
2080101,444518,bay714,twqm,main,vadeq,odu,cb6.3,2018-02-15t00:00:00,13:54:00,12,5,9,4,ap,d,s1,chla,"",5.0196,ug/l,l01,odu,"",,,"",37.41153,-76.15966,t3
2080101,444509,bay714,twqm,main,vadeq,odu,cb5.4,2018-02-15t00:00:00,08:32:00,33,10,11,32,b,d,s1,chla,"",19.224,ug/l,l01,odu,"",,,"",37.80013,-76.17466,t3
2080101,444516,bay714,twqm,main,vadeq,odu,cb6.2,2018-02-15t00:00:00,13:21:00,10,6,7,9,b,d,s1,chla,"",6.5148,ug/l,l01,odu,"",,,"",37.4868,-76.15633,t3
2080101,444514,bay714,twqm,main,vadeq,odu,cb6.1,2018-02-15t00:00:00,11:10:00,12,5,9,10,bp,d,s1,chla,"",4.272,ug/l,l01,odu,"",,,"",37.58847,-76.16216,t3
2080101,444516,bay714,twqm,main,vadeq,odu,cb6.2,2018-02-15t00:00:00,13:21:00,10,6,7,8,bp,d,s1,chla,"",4.806,ug/l,l01,odu,"",,,"",37.4868,-76.15633,t3
2080101,444518,bay714,twqm,main,vadeq,odu,cb6.3,2018-02-15t00:00:00,13:54:00,12,5,9,11,b,d,s1,chla,"",13.528,ug/l,l01,odu,"",,,"",37.41153,-76.15966,t3
2080101,444518,bay714,twqm,main,vadeq,odu,cb6.3,2018-02-15t00:00:00,13:54:00,12,5,9,10,bp,d,s1,chla,"",11.214,ug/l,l01,odu,"",,,"",37.41153,-76.15966,t3
2080101,444518,bay714,twqm,main,vadeq,odu,cb6.3,2018-02-15t00:00:00,13:54:00,12,5,9,1,s,d,s1,chla,"",5.1264,ug/l,l01,odu,"",,,"",37.41153,-76.15966,t3
2080101,444525,bay714,twqm,main,vadeq,odu,cb7.1s,2018-02-14t00:00:00,12:51:00,13,,,12,b,d,s1,chla,"",8.7576,ug/l,l01,odu,"",,,"",37.58124,-76.05799,t3
2080101,444522,bay714,twqm,main,vadeq,odu,cb7.1,2018-02-14t00:00:00,13:33:00,18,,,1,s,d,s1,chla,"",2.9904,ug/l,l01,odu,"",,,"",37.68346,-75.98966,t3
2080101,444520,bay714,twqm,main,vadeq,odu,cb6.4,2018-02-15t00:00:00,14:53:00,9,7,7,6,ap,d,s1,chla,"",3.5244,ug/l,l01,odu,"",,,"",37.23653,-76.20799,t3
2080101,444520,bay714,twqm,main,vadeq,odu,cb6.4,2018-02-15t00:00:00,14:53:00,9,7,7,1,s,d,s1,chla,"",,ug/l,l01,odu,a,,,centrifuge_tube_broke.,37.23653,-76.20799,t3
2080101,444520,bay714,twqm,main,vadeq,odu,cb6.4,2018-02-15t00:00:00,14:53:00,9,7,7,8,bp,d,s1,chla,"",4.9128,ug/l,l01,odu,"",,,sample_collected_approximately_5_minutes_after_bottom_sample_collected.,37.23653,-76.20799,t3
2080101,444516,bay714,twqm,main,vadeq,odu,cb6.2,2018-02-15t00:00:00,13:21:00,10,6,7,1,s,d,s1,chla,"",3.204,ug/l,l01,odu,"",,,"",37.4868,-76.15633,t3
2080101,444522,bay714,twqm,main,vadeq,odu,cb7.1,2018-02-14t00:00:00,13:33:00,18,,,17,b,d,s1,chla,"",8.1168,ug/l,l01,odu,"",,,"",37.68346,-75.98966,t3
2080101,444516,bay714,twqm,main,vadeq,odu,cb6.2,2018-02-15t00:00:00,13:21:00,10,6,7,5,ap,d,s1,chla,"",2.7768,ug/l,l01,odu,"",,,"",37.4868,-76.15633,t3
2080101,444525,bay714,twqm,main,vadeq,odu,cb7.1s,2018-02-14t00:00:00,12:51:00,13,,,1,s,d,s1,chla,"",2.136,ug/l,l01,odu,"",,,"",37.58124,-76.05799,t3
2080101,444527,bay714,twqm,main,vadeq,odu,cb7.2,2018-02-14t00:00:00,11:51:00,22,,,21,b,d,s1,chla,"",6.942,ug/l,l01,odu,"",,,"",37.41153,-76.07966,t3
2080101,444527,bay714,twqm,main,vadeq,odu,cb7.2,2018-02-14t00:00:00,11:51:00,22,,,1,s,d,s1,chla,"",2.3496,ug/l,l01,odu,"",,,"",37.41153,-76.07966,t3
2080101,444529,bay714,twqm,main,vadeq,odu,cb7.2e,2018-02-14t00:00:00,11:22:00,13,,,1,s,d,s1,chla,"",1.7088,ug/l,l01,odu,"",,,"",37.41153,-76.02466,t3
2080101,444531,bay714,twqm,main,vadeq,odu,cb7.3,2018-02-14t00:00:00,09:27:00,13,2,2,1,ap,d,s1,chla,"",1.8156,ug/l,l01,odu,"",,,sample_collected_approximately_20_minutes_after_surface_sample_collected.,37.11681,-76.12521,t3
2080101,444529,bay714,twqm,main,vadeq,odu,cb7.2e,2018-02-14t00:00:00,11:22:00,13,,,12,b,d,s1,chla,"",1.7088,ug/l,l01,odu,"",,,"",37.41153,-76.02466,t3
2080101,444531,bay714,twqm,main,vadeq,odu,cb7.3,2018-02-14t00:00:00,09:27:00,13,2,2,3,bp,d,s1,chla,"",2.136,ug/l,l01,odu,"",,,"",37.11681,-76.12521,t3
2080101,444520,bay714,twqm,main,vadeq,odu,cb6.4,2018-02-15t00:00:00,14:53:00,9,7,7,8,b,d,s1,chla,"",5.4468,ug/l,l01,odu,"",,,sample_collected_approximately_5_minutes_before_below_pycnocline_sample_collected.,37.23653,-76.20799,t3
2080101,444533,bay714,twqm,main,vadeq,odu,cb7.3e,2018-02-14t00:00:00,10:12:00,20,,,19,b,d,s1,chla,"",3.4176,ug/l,l01,odu,"",,,"",37.22875,-76.05383,t3
2080101,444531,bay714,twqm,main,vadeq,odu,cb7.3,2018-02-14t00:00:00,09:27:00,13,2,2,12,b,d,s1,chla,"",4.1652,ug/l,l01,odu,"",,,"",37.11681,-76.12521,t3
2080101,444531,bay714,twqm,main,vadeq,odu,cb7.3,2018-02-14t00:00:00,09:27:00,13,2,2,1,s,d,s1,chla,"",1.8156,ug/l,l01,odu,"",,,sample_collected_approximately_20_minutes_before_above_pycnocline_sample_collected.,37.11681,-76.12521,t3
2080101,444537,bay714,twqm,main,vadeq,odu,cb8.1,2018-02-14t00:00:00,08:45:00,8,,,7,b,d,s1,chla,"",6.0876,ug/l,l01,odu,"",,,"",36.99542,-76.16772,t3
2080101,444539,bay714,twqm,main,vadeq,odu,cb8.1e,2018-02-21t00:00:00,10:47:00,15,,,1,s,d,s1,chla,"",2.3496,ug/l,l01,odu,"",,,"",36.94737,-76.03494,t3
2080101,444533,bay714,twqm,main,vadeq,odu,cb7.3e,2018-02-14t00:00:00,10:12:00,20,,,1,s,d,s1,chla,"",1.8156,ug/l,l01,odu,"",,,"",37.22875,-76.05383,t3
2080101,444539,bay714,twqm,main,vadeq,odu,cb8.1e,2018-02-21t00:00:00,10:47:00,15,,,14,b,d,s1,chla,"",9.3984,ug/l,l01,odu,"",,,"",36.94737,-76.03494,t3
2080101,444537,bay714,twqm,main,vadeq,odu,cb8.1,2018-02-14t00:00:00,08:45:00,8,,,1,s,d,s1,chla,"",3.738,ug/l,l01,odu,"",,,"",36.99542,-76.16772,t3
2080101,444544,bay714,twqm,main,vadeq,odu,le3.6,2018-02-15t00:00:00,12:00:00,10,,,1,s,d,s1,chla,"",3.3108,ug/l,l01,odu,"",,,"",37.5968,-76.28467,t3
2080101,444544,bay714,twqm,main,vadeq,odu,le3.6,2018-02-15t00:00:00,12:00:00,10,,,9,b,d,s1,chla,"",4.9128,ug/l,l01,odu,"",,,"",37.5968,-76.28467,t3
2080101,444554,bay714,twqm,main,vadeq,odu,we4.3,2018-02-15t00:00:00,16:31:00,4,,,1,s,d,s1,chla,"",3.0972,ug/l,l01,odu,"",,,"",37.17681,-76.373,t3
2080101,444554,bay714,twqm,main,vadeq,odu,we4.3,2018-02-15t00:00:00,16:31:00,4,,,3,b,d,s1,chla,"",2.67,ug/l,l01,odu,"",,,"",37.17681,-76.373,t3
2080101,447941,bay714,twqm,main,mddnr,mddnr,cb5.3,2018-02-13t00:00:00,10:58:00,27.5,11.5,12.5,10,ap,d,s1,chla,"",6.194,ug/l,l01,cbl,"",,,"",37.91011,-76.17137,t3
2080101,447941,bay714,twqm,main,mddnr,mddnr,cb5.3,2018-02-13t00:00:00,10:58:00,27.5,11.5,12.5,0.5,s,d,s1,chla,"",6.408,ug/l,l01,cbl,"",,,"",37.91011,-76.17137,t3
2080101,447941,bay714,twqm,main,mddnr,mddnr,cb5.3,2018-02-13t00:00:00,10:58:00,27.5,11.5,12.5,26,b,d,s1,chla,"",8.544,ug/l,l01,cbl,"",,,"",37.91011,-76.17137,t3
2080101,447941,bay714,twqm,main,mddnr,mddnr,cb5.3,2018-02-13t00:00:00,10:58:00,27.5,11.5,12.5,14,bp,d,s1,chla,"",6.408,ug/l,l01,cbl,"",,,"",37.91011,-76.17137,t3
2080101,448750,bay720,twqm,main,vadeq,odu,cb5.4,2018-05-15t00:00:00,09:31:00,32,6,10,1,s,d,s1,chla,"",7.9032,ug/l,l01,odu,"",,,"",37.80013,-76.17466,t3
2080101,448750,bay720,twqm,main,vadeq,odu,cb5.4,2018-05-15t00:00:00,09:31:00,32,6,10,31,b,d,s1,chla,"",5.34,ug/l,l01,odu,"",,,"",37.80013,-76.17466,t3
2080101,448750,bay720,twqm,main,vadeq,odu,cb5.4,2018-05-15t00:00:00,09:31:00,32,6,10,5,ap,d,s1,chla,"",9.1848,ug/l,l01,odu,"",,,"",37.80013,-76.17466,t3
2080101,448753,bay720,twqm,main,vadeq,odu,cb5.4w,2018-05-15t00:00:00,08:56:00,5,,,1,s,d,s1,chla,"",8.1168,ug/l,l01,odu,"",,,"",37.81347,-76.29467,t3
2080101,448753,bay720,twqm,main,vadeq,odu,cb5.4w,2018-05-15t00:00:00,08:56:00,5,,,4,b,d,s1,chla,"",9.8256,ug/l,l01,odu,"",,,"",37.81347,-76.29467,t3
2080101,448756,bay720,twqm,main,vadeq,odu,cb5.5,2018-05-15t00:00:00,07:52:00,17,3,6,1,s,d,s1,chla,"",6.3012,ug/l,l01,odu,"",,,"",37.6918,-76.18967,t3
2080101,448750,bay720,twqm,main,vadeq,odu,cb5.4,2018-05-15t00:00:00,09:31:00,32,6,10,11,bp,d,s1,chla,"",7.9032,ug/l,l01,odu,"",,,"",37.80013,-76.17466,t3
2080101,448756,bay720,twqm,main,vadeq,odu,cb5.5,2018-05-15t00:00:00,07:52:00,17,3,6,16,b,d,s1,chla,"",7.6896,ug/l,l01,odu,"",,,"",37.6918,-76.18967,t3
2080101,448756,bay720,twqm,main,vadeq,odu,cb5.5,2018-05-15t00:00:00,07:52:00,17,3,6,2,ap,d,s1,chla,"",6.8352,ug/l,l01,odu,"",,,"",37.6918,-76.18967,t3
2080101,448762,bay720,twqm,main,vadeq,odu,cb6.2,2018-05-14t00:00:00,15:05:00,10,7,7,9,b,d,s1,chla,"",9.078,ug/l,l01,odu,"",,,"",37.4868,-76.15633,t3
2080101,448756,bay720,twqm,main,vadeq,odu,cb5.5,2018-05-15t00:00:00,07:52:00,17,3,6,7,bp,d,s1,chla,"",11.8548,ug/l,l01,odu,"",,,"",37.6918,-76.18967,t3
2080101,448759,bay720,twqm,main,vadeq,odu,cb6.1,2018-05-14t00:00:00,17:18:00,12,7,7,11,b,d,s1,chla,"",9.612,ug/l,l01,odu,"",,,"",37.58847,-76.16216,t3
2080101,448759,bay720,twqm,main,vadeq,odu,cb6.1,2018-05-14t00:00:00,17:18:00,12,7,7,6,ap,d,s1,chla,"",14.418,ug/l,l01,odu,"",,,"",37.58847,-76.16216,t3
2080101,448759,bay720,twqm,main,vadeq,odu,cb6.1,2018-05-14t00:00:00,17:18:00,12,7,7,1,s,d,s1,chla,"",5.5536,ug/l,l01,odu,"",,,"",37.58847,-76.16216,t3
2080101,448759,bay720,twqm,main,vadeq,odu,cb6.1,2018-05-14t00:00:00,17:18:00,12,7,7,8,bp,d,s1,chla,"",17.4084,ug/l,l01,odu,"",,,"",37.58847,-76.16216,t3
2080101,448765,bay720,twqm,main,vadeq,odu,cb6.3,2018-05-14t00:00:00,14:20:00,12,7,7,6,ap,d,s1,chla,"",11.4276,ug/l,l01,odu,"",,,"",37.41153,-76.15966,t3
2080101,448765,bay720,twqm,main,vadeq,odu,cb6.3,2018-05-14t00:00:00,14:20:00,12,7,7,11,b,d,s1,chla,"",7.5828,ug/l,l01,odu,"",,,"",37.41153,-76.15966,t3
2080101,448762,bay720,twqm,main,vadeq,odu,cb6.2,2018-05-14t00:00:00,15:05:00,10,7,7,6,ap,d,s1,chla,"",8.01,ug/l,l01,odu,"",,,"",37.4868,-76.15633,t3
2080101,448762,bay720,twqm,main,vadeq,odu,cb6.2,2018-05-14t00:00:00,15:05:00,10,7,7,8,bp,d,s1,chla,"",14.7384,ug/l,l01,odu,"",,,"",37.4868,-76.15633,t3
2080101,448768,bay720,twqm,main,vadeq,odu,cb6.4,2018-05-16t00:00:00,13:22:00,9,,,8,b,d,s1,chla,"",7.6896,ug/l,l01,odu,"",,,"",37.23653,-76.20799,t3
2080101,448762,bay720,twqm,main,vadeq,odu,cb6.2,2018-05-14t00:00:00,15:05:00,10,7,7,1,s,d,s1,chla,"",4.806,ug/l,l01,odu,"",,,"",37.4868,-76.15633,t3
2080101,448765,bay720,twqm,main,vadeq,odu,cb6.3,2018-05-14t00:00:00,14:20:00,12,7,7,8,bp,d,s1,chla,"",10.3596,ug/l,l01,odu,"",,,"",37.41153,-76.15966,t3
2080101,448765,bay720,twqm,main,vadeq,odu,cb6.3,2018-05-14t00:00:00,14:20:00,12,7,7,1,s,d,s1,chla,"",5.4468,ug/l,l01,odu,"",,,"",37.41153,-76.15966,t3
2080101,448768,bay720,twqm,main,vadeq,odu,cb6.4,2018-05-16t00:00:00,13:22:00,9,,,3,ap,d,s1,chla,"",4.6992,ug/l,l01,odu,"",,,"",37.23653,-76.20799,t3
2080101,448768,bay720,twqm,main,vadeq,odu,cb6.4,2018-05-16t00:00:00,13:22:00,9,,,1,s,d,s1,chla,"",3.3108,ug/l,l01,odu,"",,,"",37.23653,-76.20799,t3
2080101,448777,bay720,twqm,main,vadeq,odu,cb7.1s,2018-05-16t00:00:00,11:24:00,16,,,1,s,d,s1,chla,"",5.5536,ug/l,l01,odu,"",,,"",37.58124,-76.05799,t3
2080101,448768,bay720,twqm,main,vadeq,odu,cb6.4,2018-05-16t00:00:00,13:22:00,9,,,6,bp,d,s1,chla,"",7.2624,ug/l,l01,odu,"",,,"",37.23653,-76.20799,t3
