huc8,eventid,cruise,program,project,agency,source,station,sampledate,sampletime,totaldepth,upperpycnocline,lowerpycnocline,depth,layer,sampletype,samplereplicatetype,parameter,qualifier,measurevalue,unit,method,lab,problem,precisionpc,biaspc,details,latitude,longitude
02080101,444511,bay713,twqm,main,vadeq,odu,cb5.5,2018-01-18t00:00:00,15:40:00,19,,,6,ap,ism,m1,spcond,,32848,umhos/cm,f01,,,,,,37.6918,-76.18967
02080101,444511,bay713,twqm,main,vadeq,odu,cb5.5,2018-01-18t00:00:00,15:40:00,19,,,18,b,ism,m1,spcond,,35071,umhos/cm,f01,,,,,,37.6918,-76.18967
02080101,444511,bay713,twqm,main,vadeq,odu,cb5.5,2018-01-18t00:00:00,15:40:00,19,,,12,bp,ism,m1,spcond,,34262,umhos/cm,f01,,,,,,37.6918,-76.18967
02080101,444511,bay713,twqm,main,vadeq,odu,cb5.5,2018-01-18t00:00:00,15:40:00,19,,,2,m,ism,m1,spcond,,32796,umhos/cm,f01,,,,,,37.6918,-76.18967
02080101,444511,bay713,twqm,main,vadeq,odu,cb5.5,2018-01-18t00:00:00,15:40:00,19,,,3,m,ism,m1,spcond,,32817,umhos/cm,f01,,,,,,37.6918,-76.18967
02080101,444511,bay713,twqm,main,vadeq,odu,cb5.5,2018-01-18t00:00:00,15:40:00,19,,,4,m,ism,m1,spcond,,32825,umhos/cm,f01,,,,,,37.6918,-76.18967
02080101,444511,bay713,twqm,main,vadeq,odu,cb5.5,2018-01-18t00:00:00,15:40:00,19,,,5,m,ism,m1,spcond,,32829,umhos/cm,f01,,,,,,37.6918,-76.18967
02080101,444511,bay713,twqm,main,vadeq,odu,cb5.5,2018-01-18t00:00:00,15:40:00,19,,,7,m,ism,m1,spcond,,33152,umhos/cm,f01,,,,,,37.6918,-76.18967
02080101,444511,bay713,twqm,main,vadeq,odu,cb5.5,2018-01-18t00:00:00,15:40:00,19,,,8,m,ism,m1,spcond,,33404,umhos/cm,f01,,,,,,37.6918,-76.18967
02080101,444511,bay713,twqm,main,vadeq,odu,cb5.5,2018-01-18t00:00:00,15:40:00,19,,,9,m,ism,m1,spcond,,33338,umhos/cm,f01,,,,,,37.6918,-76.18967
02080101,444511,bay713,twqm,main,vadeq,odu,cb5.5,2018-01-18t00:00:00,15:40:00,19,,,10,m,ism,m1,spcond,,33774,umhos/cm,f01,,,,,,37.6918,-76.18967
02080101,444511,bay713,twqm,main,vadeq,odu,cb5.5,2018-01-18t00:00:00,15:40:00,19,,,11,m,ism,m1,spcond,,33864,umhos/cm,f01,,,,,,37.6918,-76.18967
