Date,Q,Julian,Month,Day,DecYear,MonthSeq,waterYear,Qualifier,i,LogQ,Q7,Q30
1979-10-01,1.89722870670138,47389,10,275,1979.74874429224,1558,1980,A,1,0.640394245995464,,
1979-10-02,2.01049609217609,47390,10,276,1979.75148401826,1558,1980,A,2,0.698381503645813,,
1979-10-03,2.7467340977617,47391,10,277,1979.75422374429,1558,1980,A,3,1.01041260510788,,
1979-10-04,3.85109110614012,47392,10,278,1979.75696347032,1558,1980,A,4,1.34835651234055,,
1979-10-05,4.07762587708954,47393,10,279,1979.75970319635,1558,1980,A,5,1.4055149261805,,
1979-10-06,3.19980363966054,47394,10,280,1979.76244292237,1558,1980,A,6,1.16308944531684,,
1979-10-07,2.94495202234245,47395,10,281,1979.7651826484,1558,1980,A,7,1.08009252574587,2.96113307741026,
1979-10-08,2.60514986591832,47396,10,282,1979.76792237443,1558,1980,A,8,0.957490203653538,3.06226467158411,
1979-10-09,2.32198140223154,47397,10,283,1979.77066210046,1558,1980,A,9,0.842420873868751,3.1067625730206,
1979-10-10,3.42633841060996,47398,10,284,1979.77340182648,1558,1980,A,10,1.23149217220124,3.2038489034275,
1979-10-11,10.5055500027793,47399,10,285,1979.77614155251,1558,1980,A,11,2.35190368921193,4.15448588866166,
1979-10-12,14.5831758798688,47400,10,286,1979.77888127854,1558,1980,A,12,2.67986852726823,5.65527874620156,
1979-10-13,10.4489163100419,47401,10,287,1979.78162100457,1558,1980,A,13,2.34649827064502,6.69086627054176,
1979-10-14,13.167333561435,47402,10,288,1979.78436073059,1558,1980,A,14,2.57773903219185,8.15120649041212,
1979-10-15,13.5920862569651,47403,10,289,1979.78710045662,1558,1980,A,15,2.60948773050643,9.72076883199024,
1979-10-16,8.91980660613337,47404,10,290,1979.78984018265,1558,1980,A,16,2.18827426543013,10.6633152896905,
1979-10-17,6.31465674021505,47405,10,291,1979.79257990868,1558,1980,A,17,1.84287339806462,11.0759321939198,
1979-10-18,4.7572301899378,47406,10,292,1979.7953196347,1558,1980,A,18,1.55966560600776,10.2547436492282,
1979-10-19,4.02099218435219,47407,10,293,1979.79805936073,1558,1980,A,19,1.39152868420576,8.74586026415435,
1979-10-20,3.6245563351907,47408,10,294,1979.80079908676,1558,1980,A,20,1.28773189052411,7.77095169631846,
1979-10-21,3.28475417876657,47409,10,295,1979.80353881279,1558,1980,A,21,1.18929181771086,6.35915464165154,
1979-10-22,3.14316994692319,47410,10,296,1979.80627853881,1558,1980,A,22,1.14523182791683,4.86645231164555,
1979-10-23,2.94495202234245,47411,10,297,1979.80901826484,1558,1980,A,23,1.08009252574587,4.01290165681828,
1979-10-24,3.19980363966054,47412,10,298,1979.81175799087,1558,1980,A,24,1.16308944531684,3.56792264245335,
